G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,2/2/19,@,Ole Miss,W,81,75,27,58,0.466,8,17,0.471,19,28,0.679,13,36,13,9,3,15,16,Mississippi State,26,57,0.456,11,21,0.524,12,14,0.857,4,21,14,6,4,13,19
22,2/6/19,,LSU,L (1 OT),88,92,32,59,0.542,8,23,0.348,16,24,0.667,10,27,16,11,6,18,23,Mississippi State,35,64,0.547,3,11,0.273,19,25,0.76,13,34,12,8,1,17,21
23,2/9/19,,Kentucky,L,67,71,23,53,0.434,7,16,0.438,14,18,0.778,7,27,7,7,6,9,19,Mississippi State,27,57,0.474,7,18,0.389,10,17,0.588,10,33,13,4,4,9,18
24,2/12/19,,Alabama,W,81,62,29,59,0.492,7,15,0.467,16,20,0.8,12,31,13,15,6,10,12,Mississippi State,22,51,0.431,7,24,0.292,11,12,0.917,8,25,14,3,5,18,16
25,2/16/19,@,Arkansas,W,77,67,26,56,0.464,6,20,0.3,19,27,0.704,10,31,15,14,2,13,21,Mississippi State,22,52,0.423,7,20,0.35,16,21,0.762,8,27,16,7,5,20,23
26,2/20/19,@,Georgia,W,68,67,25,51,0.49,7,17,0.412,11,18,0.611,7,27,7,5,5,12,16,Mississippi State,25,60,0.417,9,25,0.36,8,11,0.727,14,34,12,5,2,9,16
27,2/23/19,,South Carolina,W,76,61,25,50,0.5,8,18,0.444,18,20,0.9,3,26,13,9,10,13,17,Mississippi State,22,57,0.386,9,21,0.429,8,16,0.5,8,24,12,2,6,15,19
28,2/26/19,,Missouri,W,68,49,23,48,0.479,8,20,0.4,14,18,0.778,5,25,12,9,8,7,11,Mississippi State,17,52,0.327,7,24,0.292,8,13,0.615,10,30,8,3,1,14,15
29,3/2/19,@,Auburn,L,75,80,24,55,0.436,10,30,0.333,17,25,0.68,12,37,13,5,1,18,19,Mississippi State,24,51,0.471,13,30,0.433,19,23,0.826,1,19,16,9,4,9,16
30,3/5/19,@,Tennessee,L,54,71,19,57,0.333,4,16,0.25,12,22,0.545,16,40,8,9,1,17,14,Mississippi State,26,61,0.426,6,23,0.261,13,17,0.765,14,41,17,12,8,15,13
31,3/9/19,,Texas A&M,W,92,81,33,63,0.524,16,34,0.471,10,16,0.625,11,34,22,4,6,13,17,Mississippi State,28,60,0.467,9,21,0.429,16,21,0.762,8,29,10,10,3,10,14
32,3/14/19,N,Texas A&M,W,80,54,31,58,0.534,11,25,0.44,7,9,0.778,7,33,17,8,2,14,18,Mississippi State,18,49,0.367,5,18,0.278,13,22,0.591,7,24,9,7,2,12,13
33,3/15/19,N,Tennessee,L,76,83,28,62,0.452,9,25,0.36,11,20,0.55,15,34,11,6,4,11,18,Mississippi State,34,66,0.515,5,11,0.455,10,15,0.667,13,34,21,10,7,9,14
