G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
23,2/4/19,@,Oklahoma,W,75,74,28,63,0.444,10,30,0.333,9,13,0.692,9,37,12,7,6,11,13,Iowa State,28,65,0.431,8,21,0.381,10,12,0.833,6,27,12,2,5,7,13
24,2/9/19,,TCU,L,83,92,28,62,0.452,7,24,0.292,20,24,0.833,10,32,15,5,7,15,20,Iowa State,33,62,0.532,8,18,0.444,18,26,0.692,9,30,19,10,7,10,16
25,2/16/19,@,Kansas State,W,78,64,29,55,0.527,14,24,0.583,6,11,0.545,8,31,19,6,2,10,18,Iowa State,21,50,0.42,5,19,0.263,17,24,0.708,9,27,8,5,2,9,13
26,2/19/19,,Baylor,L,69,73,26,60,0.433,8,23,0.348,9,11,0.818,6,25,13,4,6,5,13,Iowa State,29,67,0.433,10,28,0.357,5,7,0.714,18,43,16,3,3,9,14
27,2/23/19,@,TCU,L,72,75,31,69,0.449,2,20,0.1,8,11,0.727,12,35,17,13,5,11,15,Iowa State,26,60,0.433,9,22,0.409,14,24,0.583,15,38,18,9,2,16,10
28,2/25/19,,Oklahoma,W,78,61,28,54,0.519,11,23,0.478,11,14,0.786,6,35,16,7,5,9,12,Iowa State,24,63,0.381,6,18,0.333,7,12,0.583,9,30,7,4,1,9,16
29,3/2/19,@,Texas,L,69,86,25,55,0.455,6,17,0.353,13,17,0.765,10,25,9,4,3,10,14,Iowa State,29,53,0.547,15,25,0.6,13,15,0.867,6,24,18,3,2,7,16
30,3/6/19,@,West Virginia,L,75,90,28,64,0.438,7,24,0.292,12,20,0.6,13,33,11,8,4,14,18,Iowa State,33,69,0.478,11,27,0.407,13,18,0.722,16,40,15,7,2,14,16
31,3/9/19,,Texas Tech,L,73,80,24,54,0.444,8,19,0.421,17,26,0.654,7,30,12,3,4,13,14,Iowa State,28,65,0.431,11,26,0.423,13,13,1,9,36,13,8,5,9,19
32,3/14/19,N,Baylor,W,83,66,30,58,0.517,13,25,0.52,10,14,0.714,9,27,15,8,5,8,14,Iowa State,25,58,0.431,9,25,0.36,7,10,0.7,13,32,12,3,5,14,15
33,3/15/19,N,Kansas State,W,63,59,21,50,0.42,6,22,0.273,15,18,0.833,8,39,9,2,6,17,10,Iowa State,22,63,0.349,8,27,0.296,7,9,0.778,5,26,11,9,3,7,14
34,3/16/19,N,Kansas,W,78,66,26,54,0.481,7,19,0.368,19,25,0.76,6,35,12,9,7,11,16,Iowa State,28,71,0.394,3,18,0.167,7,13,0.538,15,39,10,8,6,11,18
