Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
326,Valparaiso,33,15,18,0.455,-3.16,-0.78,7,11,8,7,5,8,2205,2187,1335,802,1783,0.45,185,585,0.316,416,595,0.699,294,1115,431,202,101,439,546,66.4,99.5,0.334,0.328,0.534,50.8,53.7,9.1,8.6,0.502,17.5,27,0.233
327,Vanderbilt,32,9,23,0.281,3.91,8.12,0,18,8,10,1,10,2180,2315,1285,736,1750,0.421,230,739,0.311,478,710,0.673,325,1139,371,154,126,454,568,68.9,98.5,0.406,0.422,0.522,50.1,50.4,7,10.4,0.486,17.9,28.9,0.273
328,Vermont NCAA,33,27,6,0.818,4.88,-4.69,14,2,16,2,11,4,2439,2067,1330,841,1834,0.459,257,729,0.353,500,665,0.752,300,1161,390,186,133,361,541,66.3,110.6,0.363,0.397,0.567,53.5,46.4,8.4,12.1,0.529,14.4,27.8,0.273
329,Villanova NCAA,34,25,9,0.735,15.32,7.94,13,5,13,2,5,6,2532,2281,1375,840,1912,0.439,361,1023,0.353,491,675,0.727,357,1200,485,184,103,371,558,65.2,112.9,0.353,0.535,0.567,51.9,57.7,8.2,8.9,0.534,14.2,31.1,0.257
330,VCU,32,25,7,0.781,12.52,2.68,16,2,16,1,8,4,2286,1971,1290,801,1811,0.442,229,745,0.307,455,652,0.698,347,1174,444,255,145,446,634,69,102.7,0.36,0.411,0.539,51,55.4,11.5,12.3,0.506,17.4,31.3,0.251
331,VMI,32,11,21,0.344,-10.23,0.36,4,14,8,7,2,13,2433,2617,1290,843,1973,0.427,323,898,0.36,424,581,0.73,280,1110,442,217,61,390,541,73.5,102.6,0.294,0.455,0.541,47.2,52.4,9.2,5.1,0.509,14.8,23,0.215
332,Virginia Tech NCAA,32,24,8,0.75,19.85,7.94,12,6,14,2,5,5,2368,1987,1290,824,1732,0.476,307,779,0.394,413,545,0.758,285,1043,491,213,74,363,489,64.3,114.2,0.315,0.45,0.595,52.1,59.6,10.3,8.7,0.564,15.4,29.7,0.238
333,Virginia NCAA,32,29,3,0.906,26.62,9.84,16,2,15,1,10,1,2299,1762,1285,820,1715,0.478,271,662,0.409,388,520,0.746,284,1112,464,180,122,289,469,61.1,117.1,0.303,0.386,0.586,53.8,56.6,9.2,12.3,0.557,12.8,29.9,0.226
334,Wagner,30,13,17,0.433,-12.62,-7.26,8,10,7,7,6,10,1974,2044,1205,655,1696,0.386,236,773,0.305,428,575,0.744,378,1095,351,184,108,414,639,66.4,98.7,0.339,0.456,0.501,52,53.6,9.2,12,0.456,17.4,33.9,0.252
335,Wake Forest,31,11,20,0.355,1.84,9.09,4,14,8,8,1,10,2119,2344,1250,714,1812,0.394,197,640,0.308,494,681,0.725,399,1174,329,150,77,417,555,68.8,98.6,0.376,0.353,0.496,52.2,46.1,7,7.2,0.448,16.3,33.7,0.273
