"","School","G","W-L%","SRS","SOS","FG%","3P%","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","Pace","ORtg","FT/FGA","DRtg"
"145","Kentucky",33,0.818,21.76,10.46,0.478,0.364,0.74,384,1272,457,199,167,417,537,67.9,112.6,0.314,99.0366972477064
"146","La Salle",31,0.323,-3.33,1.58,0.4,0.331,0.77,328,1060,391,230,98,435,630,69.5,97,0.219,106.313394634563
"147","Lafayette",30,0.333,-11.01,-4.77,0.449,0.38,0.744,233,1001,419,156,125,402,515,70.4,102.9,0.182,110.343855693348
"148","Lamar",33,0.606,-5.72,-7,0.456,0.343,0.687,446,1281,479,283,96,473,623,71.3,108.8,0.286,99.5199725698612
"149","Lehigh",31,0.645,-2.16,-4.29,0.483,0.424,0.775,232,1102,468,172,71,418,571,72.4,109.5,0.271,109.353756911085
"150","Liberty",34,0.824,4.78,-5.12,0.491,0.368,0.771,263,1113,505,217,91,373,513,65.3,113.3,0.199,94.7271893626777
"151","Lipscomb",33,0.788,8.79,-2.63,0.484,0.375,0.754,300,1229,573,248,90,438,572,74.8,111.7,0.276,94.9892151982744
"152","Long Beach State",34,0.441,-4.36,-0.23,0.432,0.344,0.691,377,1263,399,219,105,479,620,73.3,101,0.283,104.810578405127
"153","Long Island University",32,0.5,-8.67,-8.77,0.437,0.341,0.703,321,1196,430,218,157,471,610,72.9,101.4,0.24,102.177334732424
"154","Longwood",32,0.469,-9.86,-7.45,0.423,0.344,0.731,269,1133,364,198,68,459,591,68.9,99.9,0.252,102.560585276635
"155","Louisiana",32,0.594,-1.86,-1.29,0.446,0.348,0.742,363,1141,485,224,125,423,612,74.9,108.2,0.261,108.879492600423
"156","Louisiana-Monroe",33,0.545,1.04,-1.77,0.452,0.395,0.782,297,1099,461,191,74,373,513,69.2,112.3,0.289,109.21076073401
"157","LSU",32,0.813,17.24,8.9,0.462,0.323,0.754,431,1241,420,291,138,422,597,70.5,112.3,0.284,103.28825245293
"158","Louisiana Tech",33,0.606,1.27,-1.99,0.436,0.335,0.657,368,1204,440,190,115,386,535,68,105.2,0.235,100.585058505851
"159","Louisville",33,0.606,18.45,11.72,0.434,0.342,0.775,338,1262,442,147,97,407,569,68.5,107.1,0.272,99.6881959910913
"160","Loyola (IL)",34,0.588,4.21,0.06,0.492,0.365,0.666,190,1013,468,221,78,407,470,63.7,103,0.215,97.3151201130476
"161","Loyola Marymount",31,0.645,3.09,1.19,0.457,0.317,0.744,291,1005,413,224,93,396,556,65.3,103.5,0.283,98.5751818916734
"162","Loyola (MD)",32,0.344,-8.95,-4.42,0.459,0.341,0.71,292,997,448,278,73,444,573,70.4,102.4,0.239,110.837658850904
"163","Maine",32,0.156,-14.89,-3.99,0.432,0.311,0.648,280,1015,471,239,93,460,566,64.6,94,0.17,108.722711604749
"164","Manhattan",32,0.344,-12.79,-7.22,0.405,0.332,0.584,326,1026,360,220,75,487,672,62.7,91,0.194,101.534888417651
"165","Marist",31,0.387,-9.36,-7.4,0.449,0.363,0.685,241,967,377,172,53,387,583,65.6,101.8,0.22,107.082294264339
"166","Marquette",33,0.727,16.11,7.48,0.459,0.393,0.759,317,1249,450,159,141,455,615,70.6,108.9,0.272,98.9154013015184
"167","Marshall",34,0.588,-1.16,0.02,0.441,0.346,0.724,296,1124,490,313,146,425,621,76.1,104.2,0.217,107.948778012025
"168","Maryland-Baltimore County",34,0.618,-5.65,-5.65,0.433,0.323,0.691,296,1145,452,268,83,428,578,65.8,99.7,0.209,96.5924216878161
"169","Maryland-Eastern Shore",32,0.219,-24.07,-7.77,0.391,0.282,0.673,264,990,361,186,70,431,575,65.5,87.1,0.193,110.804797833237
"170","Maryland",32,0.688,16.71,10.43,0.454,0.353,0.748,351,1252,423,139,151,420,495,66.3,107.6,0.246,100.115406809002
"171","Massachusetts-Lowell",32,0.469,-8.07,-6.73,0.472,0.341,0.72,293,1115,500,181,85,447,589,71.9,106,0.248,107.003891050584
"172","Massachusetts",32,0.344,-2.81,0.04,0.441,0.35,0.681,342,1122,469,154,93,445,643,68.4,102.6,0.213,108.699667528629
"173","McNeese State",31,0.29,-14.12,-5.86,0.454,0.307,0.713,310,1054,429,146,97,450,467,68.4,100.9,0.275,111.052174751664
"174","Memphis",35,0.629,10.84,4.73,0.452,0.324,0.713,430,1332,541,279,141,523,716,75.5,105.7,0.269,99.9538851740835
"175","Mercer",31,0.355,-2.49,0.13,0.451,0.344,0.688,307,1058,393,207,80,407,557,69.1,104.5,0.255,106.688200646019
"176","Miami (FL)",32,0.438,10.01,9.32,0.435,0.333,0.735,291,1060,413,212,100,372,465,68.5,104.4,0.227,105.421686746988
"177","Miami (OH)",32,0.469,1.08,2.62,0.421,0.324,0.709,353,1190,349,193,88,413,581,68.8,102.6,0.241,103.552216657392
